Question Number,Question,Answer,Category,Difficulty
46,What is Dynamic Programming and how is it different from Divide & Conquer?,"[
  ""Dynamic Programming is a technique that solves problems with overlapping subproblems by storing their results, while divide and conquer solves independent subproblems without storing intermediate results."",
  
  ""It is an optimization approach that uses memoization or tabulation to avoid recomputation, whereas divide and conquer recursively solves subproblems that do not overlap."",
  
  ""Dynamic Programming reuses solutions of subproblems to improve efficiency, while divide and conquer solves each subproblem separately and combines the results."",
  
  ""The key difference is that dynamic programming deals with overlapping subproblems and caches results, while divide and conquer handles independent subproblems without caching."",
  
  ""Dynamic Programming reduces time complexity by avoiding repeated calculations, while divide and conquer may recompute subproblems multiple times."",
  
  ""In dynamic programming, results are stored and reused, whereas in divide and conquer, results are not stored and subproblems are solved repeatedly if needed."",
  
  ""Dynamic Programming is suitable for problems with optimal substructure and overlapping subproblems, while divide and conquer is used when subproblems are independent."",
  
  ""The main difference is that dynamic programming improves efficiency through caching, while divide and conquer focuses on breaking and combining without reuse of results.""
]",Data Structures & Algorithms (DSA) ,Hard
47,Explain Kadane’s Algorithm,"[
  ""Kadane’s Algorithm is used to find the maximum sum subarray in a given array by iterating through the array and keeping track of the current sum and maximum sum."",
  
  ""It is an efficient algorithm that computes the maximum subarray sum in O(n) time by deciding at each step whether to extend the current subarray or start a new one."",
  
  ""Kadane’s Algorithm works by maintaining a running sum and resetting it to zero whenever it becomes negative, while tracking the maximum sum encountered."",
  
  ""It is a dynamic programming approach where the maximum subarray ending at each position is calculated and used to find the global maximum."",
  
  ""Kadane’s Algorithm finds the largest sum of a contiguous subarray by comparing the current element with the sum of the current element and previous subarray."",
  
  ""The algorithm iterates through the array, updating a current maximum and a global maximum to determine the best subarray sum."",
  
  ""It is a linear-time algorithm that efficiently solves the maximum subarray problem by avoiding redundant calculations."",
  
  ""Kadane’s Algorithm determines whether to continue a subarray or start fresh at each element to maximize the total sum.""
]",Data Structures & Algorithms (DSA) ,Hard
48,What is the difference between BFS and Dijkstra’s Algorithm?,"[
  ""BFS (Breadth-First Search) is used for unweighted graphs to find the shortest path in terms of number of edges, while Dijkstra’s algorithm is used for weighted graphs to find the shortest path based on minimum cost."",
  
  ""The main difference is that BFS treats all edges equally, whereas Dijkstra’s algorithm considers different edge weights to compute the shortest path."",
  
  ""BFS uses a queue and works efficiently on unweighted graphs, while Dijkstra’s algorithm uses a priority queue to handle weighted graphs."",
  
  ""BFS finds the shortest path in O(V + E) time for unweighted graphs, whereas Dijkstra’s algorithm finds the shortest path in weighted graphs with higher complexity."",
  
  ""BFS explores nodes level by level without considering weights, while Dijkstra’s algorithm selects the next node based on the smallest distance value."",
  
  ""Dijkstra’s algorithm is more general and works with weighted graphs, while BFS is a simpler approach limited to unweighted graphs."",
  
  ""BFS guarantees shortest paths only when all edge weights are equal, whereas Dijkstra’s algorithm guarantees shortest paths for graphs with non-negative weights."",
  
  ""The key difference is that BFS is based on traversal order, while Dijkstra’s algorithm is based on distance optimization using weights.""
]",Data Structures & Algorithms (DSA) ,Hard
49,What is Topological Sorting and where is it used?,"[
  ""Topological sorting is a linear ordering of vertices in a directed acyclic graph (DAG) such that for every directed edge u ? v, u comes before v. It is used in task scheduling and dependency resolution."",
  
  ""It is a method of arranging nodes of a DAG in a sequence where all dependencies are satisfied. It is commonly used in build systems and course scheduling."",
  
  ""Topological sort orders the vertices of a directed graph so that each node appears before the nodes it points to. It is used in scheduling problems and resolving dependencies."",
  
  ""It is an algorithm used to find a valid sequence of tasks in a DAG where prerequisites must be completed before dependent tasks. Applications include job scheduling and compilation order."",
  
  ""Topological sorting provides a linear ordering of nodes in a DAG that respects edge directions. It is used in project planning, task execution, and dependency management."",
  
  ""It is a technique to order elements based on dependency relationships in a directed acyclic graph, widely used in workflow management and package installation systems."",
  
  ""Topological sorting ensures that all prerequisites of a node are processed before the node itself, making it useful in scheduling and ordering problems."",
  
  ""It is used to arrange tasks or operations in a sequence when there are dependencies, ensuring that no task is executed before its prerequisites.""
]",Data Structures & Algorithms (DSA) ,Hard
50,What is the difference between HashMap and TreeMap?,"[
  ""HashMap stores data using a hash table and does not maintain any order, while TreeMap stores data in a sorted order using a tree structure (typically a Red-Black tree)."",
  
  ""The main difference is that HashMap provides constant time O(1) operations on average, whereas TreeMap provides O(log n) time operations due to its balanced tree structure."",
  
  ""HashMap allows one null key and does not guarantee ordering, while TreeMap does not allow null keys and maintains keys in sorted order."",
  
  ""HashMap is faster for general operations because it uses hashing, while TreeMap is slower but keeps elements sorted based on natural ordering or a comparator."",
  
  ""HashMap is based on hashing and is unordered, whereas TreeMap is based on a self-balancing binary search tree and is ordered."",
  
  ""In HashMap, elements are stored in buckets using hash codes, while TreeMap stores elements in a hierarchical structure with sorted keys."",
  
  ""HashMap is preferred when ordering is not required and performance is important, while TreeMap is used when sorted data and range operations are needed."",
  
  ""The key difference is that HashMap focuses on fast access using hashing, while TreeMap focuses on maintaining sorted order with slightly higher time complexity.""
]",Data Structures & Algorithms (DSA) ,Hard
51,What are two ways of representing binary trees in the memory? Which one do you prefer and why?,"[
  ""Binary trees can be represented using an array or linked structure. I prefer the linked representation because it is flexible and does not waste space for sparse trees."",
  
  ""The two common representations are array-based and pointer-based (linked list). Linked representation is preferred for dynamic trees as it allows easy insertion and deletion."",
  
  ""Binary trees can be stored in arrays or using nodes with pointers. Array representation is efficient for complete trees, but linked representation is generally preferred for arbitrary trees."",
  
  ""The two methods are sequential (array) and linked representation. Linked representation is preferred because it uses memory efficiently for non-complete trees."",
  
  ""Binary trees are represented either in contiguous memory (array) or using nodes connected by pointers. I prefer linked representation due to its adaptability and dynamic nature."",
  
  ""Array representation stores nodes in indexed positions, while linked representation uses nodes with left and right pointers. Linked is preferred for most cases due to flexibility."",
  
  ""Two ways are array-based and node-based representation. Array is good for heaps, but linked representation is preferred for general binary trees."",
  
  ""Binary trees can be implemented using arrays or linked nodes. I prefer linked representation because it avoids unused space and supports dynamic structure changes.""
]",Data Structures & Algorithms (DSA) ,Hard
52,State the Towers of Hanoi problem.,"[
  ""The Towers of Hanoi is a problem where three rods and a number of disks are given, and the goal is to move all disks from one rod to another following specific rules."",
  
  ""It is a classic recursive problem involving three pegs and disks of different sizes, where the objective is to transfer all disks to a destination peg."",
  
  ""The problem consists of moving a stack of disks from a source rod to a target rod using an auxiliary rod, while obeying certain constraints."",
  
  ""Towers of Hanoi requires moving all disks from one peg to another such that only one disk is moved at a time and no larger disk is placed on a smaller one."",
  
  ""It is a puzzle where disks must be transferred between three rods while maintaining size order and using only one disk move at a time."",
  
  ""The problem involves three rods and multiple disks, where the aim is to shift the entire stack from the initial rod to another rod without violating the rules."",
  
  ""Towers of Hanoi is defined as moving n disks from a source to a destination rod using a helper rod, following constraints on disk size and movement."",
  
  ""It is a recursive problem that demonstrates how to systematically move disks between three rods while preserving their order and obeying movement rules.""
]",Data Structures & Algorithms (DSA) ,Hard
53,What is a circular queue? What are the advantages of circular queue over linear queue?,"[
  ""A circular queue is a queue in which the last position is connected back to the first, forming a circle. Its advantage over a linear queue is better memory utilization, as empty spaces can be reused."",
  
  ""It is a queue data structure where the rear wraps around to the front when the end is reached. This avoids wasted space and eliminates the need for shifting elements."",
  
  ""A circular queue allows elements to be inserted and removed in a circular manner. Compared to a linear queue, it prevents overflow when there is still free space at the beginning."",
  
  ""It is a modified version of a linear queue where the last index connects to the first. The main advantage is efficient use of memory and improved performance."",
  
  ""A circular queue treats the array as circular instead of linear, allowing reuse of freed spaces. This makes it more efficient than a linear queue."",
  
  ""In a circular queue, elements are arranged in a ring-like structure. It overcomes the limitation of linear queues by utilizing all available space."",
  
  ""A circular queue is implemented such that the rear pointer cycles back to the front. Its advantage is that it avoids false overflow conditions seen in linear queues."",
  
  ""It is a queue where insertion and deletion happen in a cyclic order. Compared to linear queues, it reduces memory wastage and improves efficiency.""
]",Data Structures & Algorithms (DSA) ,Hard
54,How to Reverse a Linked List?,"[
  ""A linked list can be reversed by iteratively changing the next pointers of each node so that they point to the previous node instead of the next one."",
  
  ""To reverse a linked list, traverse the list and update each node’s pointer to its previous node while maintaining references to the next node."",
  
  ""Reversing a linked list involves using three pointers (previous, current, next) and iterating through the list to reverse the direction of links."",
  
  ""It can be done by iterating through the list and flipping the links between nodes so that the head becomes the last node."",
  
  ""A linked list is reversed by reassigning each node’s next pointer to point backward, effectively reversing the traversal direction."",
  
  ""You can reverse a linked list using an iterative approach with pointer manipulation or a recursive approach by reversing links step by step."",
  
  ""The process involves traversing the list and adjusting pointers so that each node points to its predecessor instead of its successor."",
  
  ""Reversal of a linked list can be achieved by maintaining three pointers and updating links until all nodes are reversed.""
]",Data Structures & Algorithms (DSA) ,Hard
55,How can we check if Linked List is Palindrome or not?,"[
  ""A linked list can be checked for palindrome by finding the middle, reversing the second half, and comparing both halves."",
  
  ""One approach is to use slow and fast pointers to locate the midpoint, reverse the second half of the list, and then compare node values."",
  
  ""It can be done by copying elements into an array or stack and comparing values from both ends."",
  
  ""A palindrome check involves splitting the list into two halves, reversing one half, and checking if both halves are identical."",
  
  ""You can use a stack to store the first half of elements and then compare them with the second half while traversing."",
  
  ""The efficient method is to reverse the second half in-place and compare it with the first half in O(n) time and O(1) space."",
  
  ""Another way is to use recursion to compare corresponding nodes from the beginning and end of the list."",
  
  ""It is checked by ensuring the sequence of node values reads the same forward and backward using techniques like reversal or stack.""
]",Data Structures & Algorithms (DSA) ,Hard
56,Describe N-Queens Problem.,"[
  ""The N-Queens problem is a classic backtracking problem where N queens must be placed on an N×N chessboard such that no two queens attack each other."",
  
  ""It involves placing N queens on a chessboard so that no two queens share the same row, column, or diagonal."",
  
  ""The problem requires arranging N queens on an N×N board in such a way that they do not threaten each other."",
  
  ""N-Queens is a constraint satisfaction problem solved using backtracking to ensure that queens are placed safely."",
  
  ""It is a puzzle where the goal is to position N queens so that none can capture another, following chess movement rules."",
  
  ""The N-Queens problem demonstrates how to use recursion and backtracking to explore all valid configurations."",
  
  ""It is a combinatorial problem where valid placements of queens are found by checking row, column, and diagonal conflicts."",
  
  ""The challenge is to find all possible ways to place N queens on a board so that they are non-attacking.""
]",Data Structures & Algorithms (DSA) ,Hard
57,Explain the procedure of Two Sum.,"[
  ""The N-Queens problem is a classic backtracking problem where N queens must be placed on an N×N chessboard such that no two queens attack each other."",
  
  ""It involves placing N queens on a chessboard so that no two queens share the same row, column, or diagonal."",
  
  ""The problem requires arranging N queens on an N×N board in such a way that they do not threaten each other."",
  
  ""N-Queens is a constraint satisfaction problem solved using backtracking to ensure that queens are placed safely."",
  
  ""It is a puzzle where the goal is to position N queens so that none can capture another, following chess movement rules."",
  
  ""The N-Queens problem demonstrates how to use recursion and backtracking to explore all valid configurations."",
  
  ""It is a combinatorial problem where valid placements of queens are found by checking row, column, and diagonal conflicts."",
  
  ""The challenge is to find all possible ways to place N queens on a board so that they are non-attacking.""
]",Data Structures & Algorithms (DSA) ,Hard
58,"Given an array of integers, find the kth largest element (not the kth distinct element).","[
  ""The kth largest element can be found by sorting the array in descending order and selecting the element at index k-1."",
  
  ""One approach is to sort the array and return the element at position n-k, where n is the size of the array."",
  
  ""It can be solved efficiently using a min-heap of size k, where the top element represents the kth largest element."",
  
  ""Another method is to use Quickselect, which partitions the array and finds the kth largest element in average O(n) time."",
  
  ""The problem can be solved by maintaining a priority queue and keeping track of the k largest elements."",
  
  ""A brute-force approach sorts the array, but an optimized approach uses heap or partitioning techniques."",
  
  ""Quickselect is commonly used as it reduces unnecessary sorting and directly finds the kth largest element."",
  
  ""The kth largest element is determined by ordering the array elements and selecting the appropriate index without requiring distinct values.""
]",Data Structures & Algorithms (DSA) ,Hard
59,"Given a string, find the length of the longest substring without repeating characters.","[
  ""The problem can be solved using the sliding window technique by maintaining a set of characters and expanding the window while characters are unique, updating the maximum length."",
  
  ""Use two pointers to create a window and a hash set to track characters; move the left pointer when duplicates are found and keep track of the longest length."",
  
  ""It is solved by iterating through the string while storing characters in a map or set and adjusting the window whenever a repeated character appears."",
  
  ""The idea is to maintain a dynamic substring with unique characters and update the maximum length whenever the substring expands."",
  
  ""A sliding window approach with a hash map helps track indices of characters and efficiently calculate the longest substring without repetition."",
  
  ""The algorithm involves expanding the window until a duplicate is found, then shrinking it until the duplicate is removed, tracking the maximum size."",
  
  ""It can be solved in O(n) time by using two pointers and a data structure to ensure all characters in the current substring are unique."",
  
  ""The procedure focuses on maintaining a valid substring without duplicates and updating the maximum length as the window slides through the string.""
]",Data Structures & Algorithms (DSA) ,Hard
60,How to check palindrome ignoring spaces and cases?,"[
  ""To check a palindrome ignoring spaces and cases, first remove all spaces and convert the string to lowercase, then compare it with its reverse."",
  
  ""Normalize the string by removing spaces and converting all characters to the same case, then verify if the string reads the same forward and backward."",
  
  ""The process involves preprocessing the string by eliminating spaces and converting it to lowercase, then checking if it equals its reversed version."",
  
  ""You can ignore spaces and cases by cleaning the string and using two pointers to compare characters from both ends."",
  
  ""Convert the string to lowercase, remove spaces, and then check if the resulting string is equal to its reverse."",
  
  ""Use a two-pointer approach after filtering out spaces and normalizing case to compare characters from start and end."",
  
  ""The idea is to preprocess the string by removing non-relevant characters and standardizing case, then check symmetry."",
  
  ""After cleaning the string (removing spaces and case differences), check whether the sequence of characters is identical when reversed.""
]",Data Structures & Algorithms (DSA) ,Hard
61,What is Java?,"[
  ""Java is a high-level, object-oriented programming language developed by Sun Microsystems that is widely used for building platform-independent applications."",
  
  ""It is a programming language and computing platform that allows developers to write code once and run it anywhere using the Java Virtual Machine (JVM)."",
  
  ""Java is a versatile, class-based language known for its portability, security, and robustness, commonly used in web, mobile, and enterprise applications."",
  
  ""It is an object-oriented programming language that follows the principle of write once, run anywhere, making it platform-independent."",
  
  ""Java is a popular programming language used to develop applications ranging from desktop software to large-scale enterprise systems."",
  
  ""It is a strongly typed, compiled language that runs on the JVM and supports features like inheritance, polymorphism, and encapsulation."",
  
  ""Java is a general-purpose language designed to have minimal implementation dependencies and is widely used in Android and backend development."",
  
  ""It is a widely adopted programming language known for its cross-platform capability, reliability, and extensive library support.""
]",Programming Languages (Java),Easy
62,What are the main features of Java?,"[
  ""Java is object-oriented, platform-independent, secure, robust, multithreaded, and has automatic memory management through garbage collection."",
  
  ""The main features of Java include portability, object-oriented design, strong security, robustness, multithreading, and high performance."",
  
  ""Java provides features like write once run anywhere, automatic garbage collection, exception handling, and support for multithreading."",
  
  ""Key features of Java are platform independence via JVM, object-oriented programming, security, portability, and dynamic memory management."",
  
  ""Java is known for its simplicity, portability, robustness, security, multithreading capability, and distributed computing support."",
  
  ""The language offers features such as bytecode execution, platform independence, strong typing, automatic memory management, and concurrency support."",
  
  ""Java includes important features like encapsulation, inheritance, polymorphism, JVM-based execution, and built-in security mechanisms."",
  
  ""Its main features are high portability, object-oriented nature, garbage collection, multithreading, and reliability across different platforms.""
]",Programming Languages (Java),Easy
63,What is JVM?,"[
  ""JVM (Java Virtual Machine) is a virtual machine that executes Java bytecode and enables platform-independent execution of Java programs."",
  
  ""It is a runtime environment that converts Java bytecode into machine code and runs it on the host system."",
  
  ""JVM is a part of the Java platform responsible for executing compiled Java programs and managing system resources."",
  
  ""It is an abstract computing machine that provides an environment to run Java applications across different platforms."",
  
  ""JVM allows Java programs to run on any device or operating system by interpreting or compiling bytecode at runtime."",
  
  ""It is a component of Java that handles memory management, garbage collection, and execution of bytecode."",
  
  ""JVM acts as an intermediary between Java code and the underlying hardware, ensuring portability and security."",
  
  ""It is responsible for loading, verifying, and executing Java bytecode while providing runtime services like memory management.""
]",Programming Languages (Java),Easy
64,What is JDK?,"[
  ""JDK (Java Development Kit) is a software development kit used to develop Java applications, which includes tools like the compiler and libraries along with the JVM."",
  
  ""It is a package that provides the necessary tools, such as javac and debugger, to create, compile, and run Java programs."",
  
  ""JDK is a complete development environment for Java that contains JRE, compiler, and other development utilities."",
  
  ""It is a toolkit used by developers to build Java applications, including tools for compiling, debugging, and running code."",
  
  ""JDK stands for Java Development Kit and includes everything needed to write, compile, and execute Java programs."",
  
  ""It is a collection of development tools and libraries that enable programmers to create Java-based software."",
  
  ""JDK consists of JRE, JVM, and development tools required for building and running Java applications."",
  
  ""It provides the environment and tools necessary for developing Java applications, including compilers and runtime components.""
]",Programming Languages (Java),Easy
65,What is JRE?,"[
  ""JRE (Java Runtime Environment) is a part of the Java platform that provides the necessary environment to run Java applications, including the JVM and standard libraries."",
  
  ""It is a software package that allows Java programs to run by providing the JVM and required runtime components."",
  
  ""JRE is the runtime environment that executes Java bytecode and includes libraries and other files needed to run Java programs."",
  
  ""It is a component of Java that contains the JVM and supporting files required to execute Java applications."",
  
  ""JRE stands for Java Runtime Environment and is used to run Java programs without development tools."",
  
  ""It provides the necessary runtime support, including memory management and class libraries, to execute Java applications."",
  
  ""JRE is responsible for running Java applications by providing the execution environment and essential libraries."",
  
  ""It includes JVM and core libraries required for running Java programs but does not include development tools like the compiler.""
]",Programming Languages (Java),Easy
66,What is class?,"[
  ""A class is a blueprint or template used to create objects, defining their properties (variables) and behaviors (methods)."",
  
  ""It is a user-defined data type in object-oriented programming that groups data members and member functions together."",
  
  ""A class represents a logical structure that describes the attributes and actions of objects."",
  
  ""It is a fundamental concept in object-oriented programming used to define objects and their functionalities."",
  
  ""A class is a structure that encapsulates data and methods into a single unit."",
  
  ""It acts as a blueprint for creating multiple objects with similar characteristics and behavior."",
  
  ""A class defines the properties and operations that the objects created from it can have."",
  
  ""It is a construct in programming that helps in implementing concepts like encapsulation and abstraction.""
]",Programming Languages (Java),Easy
67,What is an object?,"[
  ""An object is an instance of a class that contains data (attributes) and behavior (methods)."",
  
  ""It is a real-world entity represented in programming that has properties and actions defined by a class."",
  
  ""An object is a specific instance created from a class, used to access its variables and methods."",
  
  ""It is a runtime entity that encapsulates state and behavior in object-oriented programming."",
  
  ""An object represents a concrete implementation of a class with actual values assigned to its attributes."",
  
  ""It is a basic unit of object-oriented programming that interacts with other objects through methods."",
  
  ""An object is created from a class and is used to perform operations defined within that class."",
  
  ""It is an entity that holds data and can perform functions as defined by its class.""
]",Programming Languages (Java),Easy
68,What is method overloading?,"[
  ""Method overloading is a feature in object-oriented programming where multiple methods have the same name but different parameter lists within the same class."",
  
  ""It is the ability to define more than one method with the same name but with different types or numbers of parameters."",
  
  ""Method overloading allows a class to have multiple methods with the same name as long as their signatures differ."",
  
  ""It is a compile-time polymorphism technique where methods are distinguished by their parameter lists."",
  
  ""Method overloading enables reuse of method names by changing the number, type, or order of parameters."",
  
  ""It is a concept in which methods with identical names perform different tasks based on their arguments."",
  
  ""Method overloading occurs when multiple methods share the same name but differ in parameters within a class."",
  
  ""It is used to increase readability and flexibility by allowing the same method name to handle different types of inputs.""
]",Programming Languages (Java),Easy
69,What is inheritance?,"[
  ""Inheritance is an object-oriented programming concept where one class acquires the properties and behaviors of another class."",
  
  ""It is a mechanism that allows a child class to reuse the fields and methods of a parent class."",
  
  ""Inheritance enables the creation of new classes based on existing ones, promoting code reusability."",
  
  ""It is a relationship between classes where one class extends another and inherits its attributes and methods."",
  
  ""Inheritance allows a subclass to derive characteristics from a superclass, reducing code duplication."",
  
  ""It is a fundamental OOP concept used to implement hierarchical relationships between classes."",
  
  ""Inheritance helps in building a class hierarchy where common functionality is shared among multiple classes."",
  
  ""It is a feature that allows one class to inherit data members and member functions from another class.""
]",Programming Languages (Java),Easy
70,What is polymorphism?,"[
  ""Polymorphism is an object-oriented programming concept where a single interface or method can have multiple implementations."",
  
  ""It is the ability of an object to take many forms, allowing the same method to behave differently based on the context."",
  
  ""Polymorphism enables methods to perform different tasks depending on the object that invokes them."",
  
  ""It is a feature in OOP where the same method name can be used for different behaviors through overloading or overriding."",
  
  ""Polymorphism allows objects of different classes to be treated as objects of a common superclass while exhibiting different behaviors."",
  
  ""It is the concept of using a single interface to represent different underlying data types or methods."",
  
  ""Polymorphism provides flexibility by allowing one method to work in multiple ways depending on input or object type."",
  
  ""It is a mechanism that allows dynamic method binding and supports runtime or compile-time behavior changes.""
]",Programming Languages (Java),Easy
71,What is encapsulation?,"[
  ""Encapsulation is an object-oriented programming concept that binds data and methods together into a single unit called a class while restricting direct access to the data."",
  
  ""It is the process of hiding internal details of an object and exposing only necessary functionality through methods."",
  
  ""Encapsulation refers to wrapping data and code together and protecting data from unauthorized access using access modifiers."",
  
  ""It is a mechanism that ensures data security by controlling access to variables through getters and setters."",
  
  ""Encapsulation helps in data hiding by keeping variables private and allowing controlled access through public methods."",
  
  ""It is the concept of restricting direct access to object data and providing controlled interaction via functions."",
  
  ""Encapsulation combines attributes and behaviors in a class and prevents external interference with internal data."",
  
  ""It is a feature of OOP that improves modularity and security by hiding implementation details from the outside world.""
]",Programming Languages (Java),Easy
72,What is abstraction?,"[
  ""Abstraction is an object-oriented programming concept that hides implementation details and shows only the essential features of an object."",
  
  ""It is the process of focusing on what an object does rather than how it does it."",
  
  ""Abstraction allows developers to expose only necessary functionality while hiding complex internal logic."",
  
  ""It is a mechanism in OOP that simplifies complexity by providing a clear interface and hiding unnecessary details."",
  
  ""Abstraction helps in reducing complexity by modeling real-world objects and exposing only relevant information."",
  
  ""It is the concept of hiding internal implementation and providing a simplified interface to the user."",
  
  ""Abstraction enables separation of interface and implementation, improving code maintainability."",
  
  ""It is a feature of OOP that allows defining abstract classes or interfaces to represent essential behavior without implementation details.""
]",Programming Languages (Java),Easy
73,What is constructor?,"[
  ""A constructor is a special method in a class that is automatically called when an object is created to initialize the object's properties."",
  ""A constructor is a special member function that is automatically called when an object is created. It is used to initialize the data members of the object."", 
  ""It is a special function used to initialize objects and set initial values to instance variables."",
 
  ""A constructor is a method that has the same name as the class and is invoked when an object is instantiated."",
 
  ""It is used to allocate memory and initialize the state of an object during its creation."",
 
  ""A constructor is a special member function that runs automatically when an object is created to set up initial values."",
 
  ""It is a method used to initialize object data and prepare the object for use after creation."",
 
  ""A constructor helps in assigning default or user-defined values to object attributes at the time of instantiation."",
 
  ""It is a special method in object-oriented programming that is called implicitly when a new object is created.""
]",Programming Languages (Java),Easy
74,What is default constructor?,"[
  ""A default constructor is a constructor that takes no arguments and initializes an object with default values."",
  
  ""It is a constructor with no parameters that is automatically provided by the compiler if no other constructor is defined."",
  
  ""A default constructor is used to create an object without passing any values during instantiation."",
  
  ""It is a no-argument constructor that assigns default initial values to the object's attributes."",
  
  ""A default constructor allows object creation without explicitly specifying parameters."",
  
  ""It is a constructor that is called when an object is created without arguments, often setting default states."",
  
  ""A default constructor is either implicitly generated by the compiler or explicitly defined with no parameters."",
  
  ""It is a special constructor that initializes an object with predefined or default settings when no arguments are provided.""
]",Programming Languages (Java),Easy
75,What is static keyword?,"[
  ""The static keyword is used to declare variables or methods that belong to the class rather than to any specific instance of the class."",
  
  ""It is a keyword in Java that allows members to be shared among all objects of a class, without requiring object creation."",
  
  ""Static is used to define class-level variables and methods that can be accessed without creating an object."",
  
  ""It is a modifier that makes a member belong to the class itself instead of individual instances."",
  
  ""The static keyword enables memory sharing by creating a single copy of a variable or method for all objects."",
  
  ""It is used to define properties or behaviors that are common to all instances of a class."",
  
  ""Static members can be accessed using the class name and do not depend on object instantiation."",
  
  ""It is a keyword that indicates that a variable or method is associated with the class rather than with individual objects.""
]",Programming Languages (Java),Easy
76,What is final keyword?,"[
  ""The final keyword is used to restrict modification, meaning a final variable cannot be reassigned, a final method cannot be overridden, and a final class cannot be inherited."",
  
  ""It is a keyword in Java that makes variables constant, prevents method overriding, and stops class inheritance."",
  
  ""Final is used to define constants and to restrict changes in classes, methods, and variables."",
  
  ""It is a modifier that ensures a variable’s value cannot change, a method cannot be overridden, and a class cannot be extended."",
  
  ""The final keyword provides immutability for variables and prevents modification of methods and classes."",
  
  ""It is used to create constants and to enforce restrictions on inheritance and method overriding."",
  
  ""Final variables must be initialized once and cannot be changed afterward, while final methods and classes restrict inheritance behavior."",
  
  ""It is a keyword that ensures stability by preventing changes to variables, methods, and class structures.""
]",Programming Languages (Java),Easy
77,What is this keyword?,"[
  ""The this keyword is a reference variable in Java that refers to the current object of the class."",
  
  ""It is used to refer to the current instance of a class, especially when instance variables are shadowed by parameters."",
  
  ""The this keyword helps distinguish between instance variables and local variables with the same name."",
  
  ""It is a reference to the current object and is used to access instance variables and methods within a class."",
  
  ""This keyword is used to invoke current class methods, constructors, or to return the current object."",
  
  ""It is commonly used to resolve naming conflicts between class attributes and method parameters."",
  
  ""The this keyword allows access to the current object's members and can be passed as an argument in method calls."",
  
  ""It is a special reference in Java that points to the object currently executing the method.""
]",Programming Languages (Java),Easy
78,What is super keyword?,"[
  ""The super keyword is used in Java to refer to the immediate parent class object and access its methods and variables."",
  
  ""It is a reference keyword that allows a subclass to access properties and behaviors of its superclass."",
  
  ""The super keyword is used to call parent class constructors and methods from a child class."",
  
  ""It is used to resolve naming conflicts between parent and child class members by explicitly referring to the superclass."",
  
  ""The super keyword enables access to inherited fields and methods of a parent class."",
  
  ""It is commonly used to invoke the constructor of the superclass within a subclass constructor."",
  
  ""Super is a reference to the parent class object and is used to access overridden methods or variables."",
  
  ""It is a keyword in Java that helps in accessing and initializing superclass members from a subclass.""
]",Programming Languages (Java),Easy
79,What is String?,"[
  ""A String is a sequence of characters used to represent text in programming."",
  
  ""It is an object in Java that represents an immutable sequence of characters."",
  
  ""A string is a data type used to store and manipulate textual data."",
  
  ""It is a collection of characters enclosed within quotes, such as \""Hello\""."",
  
  ""A String in Java is a class that provides methods to work with text data."",
  
  ""It is a sequence of characters stored in memory and used for handling text."",
  
  ""A string represents textual information and supports operations like concatenation and comparison."",
  
  ""It is an immutable object in Java that cannot be changed once created.""
]",Programming Languages (Java),Easy
80,What is array?,"[
  ""An array is a data structure that stores a fixed-size collection of elements of the same type in contiguous memory locations."",
  
  ""It is a collection of elements stored at adjacent memory locations and accessed using an index."",
  
  ""An array is a linear data structure used to store multiple values of the same data type in a single variable."",
  
  ""It is a structure that allows storing and accessing elements using indices, with all elements being of the same type."",
  
  ""An array is a group of similar elements stored in sequential memory locations for efficient access."",
  
  ""It is a data structure that holds a fixed number of elements, where each element can be accessed by its position."",
  
  ""An array stores data in contiguous memory and allows random access using indices."",
  
  ""It is a simple data structure used to organize elements in a linear order with index-based access.""
]",Programming Languages (Java),Easy
81,What is method overriding?,"[
  ""Method overriding is a feature in object-oriented programming where a subclass provides a specific implementation of a method already defined in its superclass."",
  
  ""It occurs when a child class defines a method with the same name and parameters as a method in its parent class to provide a new implementation."",
  
  ""Method overriding allows a subclass to modify or extend the behavior of an inherited method."",
  
  ""It is a runtime polymorphism concept where the method to be executed is determined at runtime based on the object type."",
  
  ""Method overriding enables a subclass to redefine a method of its superclass while keeping the same method signature."",
  
  ""It is a mechanism where a subclass replaces the implementation of a method inherited from its parent class."",
  
  ""Method overriding allows dynamic method dispatch where the appropriate method is called based on the object instance."",
  
  ""It is used to achieve runtime polymorphism by redefining methods in derived classes.""
]",Programming Languages (Java),Medium
82,Difference between overloading and overriding?,"[
  ""Method overloading occurs within the same class with methods having the same name but different parameters, while method overriding occurs in inheritance where a subclass provides a new implementation of a superclass method."",
  
  ""Overloading is a compile-time polymorphism based on different method signatures, whereas overriding is a runtime polymorphism with the same method signature in parent and child classes."",
  
  ""In overloading, methods differ by parameters in the same class, while in overriding, a subclass redefines a method of its parent class."",
  
  ""Overloading allows multiple methods with the same name but different arguments, whereas overriding allows changing the behavior of an inherited method."",
  
  ""Method overloading happens in the same class without inheritance, while method overriding requires a parent-child class relationship."",
  
  ""Overloading is resolved at compile time, while overriding is resolved at runtime using dynamic method dispatch."",
  
  ""In overloading, return type alone cannot differentiate methods, while in overriding, the method signature must remain the same."",
  
  ""The key difference is that overloading changes method parameters, while overriding changes method implementation in a subclass.""
]",Programming Languages (Java),Medium
